id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
791444091092198786,Tiny home in Portland · ★5.0 · 1 bedroom · 3 beds · 1 bath,84008197,Pam,,Kerns,45.5263229,-122.6382411,Entire home/apt,172,1,4,2023-06-18,0.35,12,345,4,Exempt
46696578,Guesthouse in Portland · ★4.96 · 1 bedroom · 2 beds · 1 bath,58611997,Carmen,,Cully,45.55293,-122.60731,Entire home/apt,93,2,116,2023-11-30,3.24,1,319,29,21-025001-000-00-HO
54247874,Loft in Portland · 1 bedroom · 1 bed · 2 baths,5074035,Rachel,,Boise,45.55296,-122.6769,Entire home/apt,115,31,1,2022-05-01,0.05,4,291,0,
1016093741267378064,Home in Portland · ★New · 2 bedrooms · 2 beds · 3 baths,19786705,Bert,,Hosford-Abernethy,45.50092,-122.64898,Entire home/apt,628,1,0,,,1,264,0,City registration pending
20788623,Rental unit in Portland · ★4.83 · 1 bedroom · 2 beds · 1 bath,146196024,Jeff,,Buckman,45.515,-122.6402,Entire home/apt,81,2,555,2023-12-11,7.25,14,349,85,Exempt
1013816678708506051,Rental unit in Portland · ★New · 2 bedrooms · 3 beds · 2 baths,361640733,M,,South Portland,45.50326,-122.67806,Entire home/apt,600,1,0,,,3,269,0,Exempt
345650,Guest suite in Portland · ★4.87 · Studio · 1 bed · 1 bath,38860,Renata,,Hayhurst,45.48203,-122.71903,Entire home/apt,335,2,139,2022-12-12,1.00,1,267,0,City registration pending
50188381,Rental unit in Portland · ★4.97 · 1 bedroom · 2 beds · 1 bath,339414830,Campbell | Skye,,Pearl,45.52588,-122.68483,Entire home/apt,160,2,120,2023-12-02,4.01,9,352,43,City registration pending
825404929540260422,Rental unit in Portland · ★5.0 · 2 bedrooms · 3 beds · 1 bath,166884183,Kate,,Concordia,45.562702908383564,-122.6337511383442,Entire home/apt,119,2,30,2023-12-05,3.25,1,299,30,23-020414-000-00-HO
1539452,Rental unit in Portland · ★4.56 · 2 bedrooms · 5 beds · 1 bath,8207605,Sharon,,Portland Downtown,45.51614,-122.68598,Entire home/apt,232,2,156,2023-11-18,1.41,7,340,18,90993
5185383,Rental unit in Portland · ★4.84 · 2 bedrooms · 1 bed · 1 bath,26822355,Todji,,Richmond,45.50959,-122.6233,Entire home/apt,57,1,359,2023-11-13,3.80,6,1,30,17-221635-000-00-LU
6262850,Rental unit in Portland · ★4.96 · 1 bedroom · 1 bed · 1 bath,9681458,Kim And Carl,,Rose City Park,45.53396,-122.61039,Entire home/apt,75,3,357,2023-05-23,3.42,1,17,3,17-140034-000-00-HO
1009693143026517956,Villa in Portland · ★New · 5 bedrooms · 6 beds · 3 baths,49270200,Candis,,Southwest Hills,45.500201255799816,-122.69994573971726,Entire home/apt,448,2,1,2023-11-28,1,1,264,1,Exempt
935631617595917441,Townhouse in Portland · 4 bedrooms · 7 beds · 4 baths,62261998,ITrip Vacations,,Woodstock,45.488956767994125,-122.62030882537222,Entire home/apt,231,3,0,,,42,360,0,21-097982-000-00-LU
51766581,Home in Portland · ★4.80 · 2 bedrooms · 2 beds · 1 bath,3790403,Martha Fabiola,,Portsmouth,45.58513,-122.73076,Entire home/apt,140,2,5,2022-07-23,0.18,1,104,0,City registration pending
29233940,Condo in Portland · 1 bedroom · 1 bed · 1 bath,220235042,Jean,,Portland Downtown,45.51094,-122.67747,Entire home/apt,92,30,1,2019-07-26,0.02,1,179,0,
11238107,Guest suite in Portland · ★4.92 · 2 bedrooms · 2 beds · 1 bath,36040407,Jaime,,Beaumont-Wilshire,45.55813,-122.62315,Entire home/apt,125,1,940,2023-11-25,10.69,1,159,89,17-139918-000-00-HO
47564484,Home in Portland · ★4.96 · 2 bedrooms · 3 beds · 2 baths,153163152,Katelin,,Concordia,45.56647,-122.62982,Entire home/apt,228,3,95,2023-11-24,2.75,1,77,26,City registration pending
48850779,Hostel in Portland · ★4.38 · 1 bedroom · 8 beds · 1 shared bath,394003119,Lolo,,Buckman,45.522674560546875,-122.64909362792969,Shared room,50,1,8,2023-08-29,0.28,13,365,1,Exempt
50312370,Condo in Portland · ★5.0 · 1 bedroom · 1 bed · 1 bath,27903183,Farid,,Old Town/Chinatown,45.53096,-122.67347,Entire home/apt,125,30,4,2022-07-15,0.14,3,365,0,
1029398723212833583,Home in Portland · ★New · 2 bedrooms · 1 bed · 1 bath,456502233,Jerry,,Homestead,45.49568800545293,-122.69091533520964,Entire home/apt,56,60,0,,,4,213,0,
556823735929845203,Townhouse in Portland · ★4.91 · 1 bedroom · 2 beds · 1 shared bath,103330725,Nickisbnb,,Goose Hollow,45.51584,-122.69336,Private room,59,1,85,2022-10-13,3.76,4,108,0,22-116574-000-00-HO
